time,open,high,low,close,volume
1704067200,1.08500,1.08650,1.08450,1.08600,1250
1704153600,1.08600,1.08750,1.08550,1.08700,1320
1704240000,1.08700,1.08850,1.08650,1.08800,1180
1704326400,1.08800,1.08950,1.08750,1.08900,1450
1704412800,1.08900,1.09000,1.08800,1.08950,1200
1704499200,1.08950,1.09050,1.08850,1.09000,1380
1704585600,1.09000,1.09100,1.08900,1.09050,1250
1704672000,1.09050,1.09150,1.08950,1.09100,1320
1704758400,1.09100,1.09200,1.09000,1.09150,1180
1704844800,1.09150,1.09250,1.09050,1.09200,1450
1704931200,1.09200,1.09300,1.09100,1.09250,1200
1705017600,1.09250,1.09350,1.09150,1.09300,1380
1705104000,1.09300,1.09400,1.09200,1.09350,1250
1705190400,1.09350,1.09450,1.09250,1.09400,1320
1705276800,1.09400,1.09500,1.09300,1.09450,1180
1705363200,1.09450,1.09550,1.09350,1.09500,1450
1705449600,1.09500,1.09600,1.09400,1.09550,1200
1705536000,1.09550,1.09650,1.09450,1.09600,1380
1705622400,1.09600,1.09700,1.09500,1.09650,1250
1705708800,1.09650,1.09750,1.09550,1.09700,1320
1705795200,1.09700,1.09800,1.09600,1.09750,1180
1705881600,1.09750,1.09850,1.09650,1.09800,1450
1705968000,1.09800,1.09900,1.09700,1.09850,1200
1706054400,1.09850,1.09950,1.09750,1.09900,1380
1706140800,1.09900,1.10000,1.09800,1.09950,1250
1706227200,1.09950,1.10050,1.09850,1.10000,1320
1706313600,1.10000,1.10100,1.09900,1.10050,1180
1706400000,1.10050,1.10150,1.09950,1.10100,1450
1706486400,1.10100,1.10200,1.10000,1.10150,1200
1706572800,1.10150,1.10250,1.10050,1.10200,1380
1706659200,1.10200,1.10300,1.10100,1.10250,1250
1706745600,1.10250,1.10350,1.10150,1.10300,1320
1706832000,1.10300,1.10400,1.10200,1.10350,1180
1706918400,1.10350,1.10450,1.10250,1.10400,1450
1707004800,1.10400,1.10500,1.10300,1.10450,1200
1707091200,1.10450,1.10550,1.10350,1.10500,1380
1707177600,1.10500,1.10600,1.10400,1.10550,1250
1707264000,1.10550,1.10650,1.10450,1.10600,1320
1707350400,1.10600,1.10700,1.10500,1.10650,1180
1707436800,1.10650,1.10750,1.10550,1.10700,1450
1707523200,1.10700,1.10800,1.10600,1.10750,1200
1707609600,1.10750,1.10850,1.10650,1.10800,1380
1707696000,1.10800,1.10900,1.10700,1.10850,1250
1707782400,1.10850,1.10950,1.10750,1.10900,1320
1707868800,1.10900,1.11000,1.10800,1.10950,1180
1707955200,1.10950,1.11050,1.10850,1.11000,1450
1708041600,1.11000,1.11100,1.10900,1.11050,1200
1708128000,1.11050,1.11150,1.10950,1.11100,1380
1708214400,1.11100,1.11200,1.11000,1.11150,1250
1708300800,1.11150,1.11250,1.11050,1.11200,1320
1708387200,1.11200,1.11300,1.11100,1.11250,1180
1708473600,1.11250,1.11350,1.11150,1.11300,1450
1708560000,1.11300,1.11400,1.11200,1.11350,1200
1708646400,1.11350,1.11450,1.11250,1.11400,1380
1708732800,1.11400,1.11500,1.11300,1.11450,1250
1708819200,1.11450,1.11550,1.11350,1.11500,1320
1708905600,1.11500,1.11600,1.11400,1.11550,1180
1708992000,1.11550,1.11650,1.11450,1.11600,1450
1709078400,1.11600,1.11700,1.11500,1.11650,1200
1709164800,1.11650,1.11750,1.11550,1.11700,1380
1709251200,1.11700,1.11800,1.11600,1.11750,1250
1709337600,1.11750,1.11850,1.11650,1.11800,1320
1709424000,1.11800,1.11900,1.11700,1.11850,1180
1709510400,1.11850,1.11950,1.11750,1.11900,1450
1709596800,1.11900,1.12000,1.11800,1.11950,1200
1709683200,1.11950,1.12050,1.11850,1.12000,1380
