time,open,high,low,close,volume
2024-01-01 00:00:00,2035.50,2045.80,2025.20,2040.30,8500
2024-01-02 00:00:00,2040.30,2055.60,2030.40,2050.70,9200
2024-01-03 00:00:00,2050.70,2065.90,2040.80,2060.50,8800
2024-01-04 00:00:00,2060.50,2075.30,2050.60,2070.20,9500
2024-01-05 00:00:00,2070.20,2085.40,2060.30,2080.80,9100
2024-01-06 00:00:00,2080.80,2095.60,2070.90,2090.40,8700
2024-01-07 00:00:00,2090.40,2105.20,2080.50,2100.10,9300
2024-01-08 00:00:00,2100.10,2115.80,2090.20,2110.70,8900
2024-01-09 00:00:00,2110.70,2125.40,2100.80,2120.30,9600
2024-01-10 00:00:00,2120.30,2135.60,2110.40,2130.90,9200
2024-01-11 00:00:00,2130.90,2145.20,2121.00,2140.50,8800
2024-01-12 00:00:00,2140.50,2155.80,2130.60,2150.10,9400
2024-01-13 00:00:00,2150.10,2165.40,2140.20,2160.70,9000
2024-01-14 00:00:00,2160.70,2175.60,2150.80,2170.30,8700
2024-01-15 00:00:00,2170.30,2185.90,2160.40,2180.90,9500
2024-01-16 00:00:00,2180.90,2196.20,2171.00,2191.50,9100
2024-01-17 00:00:00,2191.50,2206.80,2181.60,2202.10,8800
2024-01-18 00:00:00,2202.10,2217.40,2192.20,2212.70,9400
2024-01-19 00:00:00,2212.70,2228.00,2202.80,2223.30,9000
2024-01-20 00:00:00,2223.30,2238.60,2213.40,2233.90,8600
